text,source,datetime,location,user_id
Not worth the money.,Google,2024-11-17 21:09:58,"Mooreport, Indiana, Azerbaijan",UID17592
Excellent customer support!,Facebook,2024-08-18 16:27:45,"Lake Leeton, Pennsylvania, Lesotho",UID21226
Product matches the description.,Phone Call,2024-06-20 09:34:11,"North Susan, Colorado, Thailand",UID19071
Nothing special.,Google,2023-10-18 03:47:16,"New Carlosbury, Montana, British Indian Ocean Territory (Chagos Archipelago)",UID96474
I want a refund.,Google,2025-04-17 07:55:04,"New Brooke, South Carolina, Belgium",UID44741
No complaints.,Mobile App,2024-04-16 10:40:41,"Sarahborough, Texas, Saint Barthelemy",UID37760
Nothing special.,Chatbot,2024-01-25 20:34:16,"West Randy, Texas, Oman",UID50857
Not worth the money.,Mobile App,2024-01-14 20:06:37,"Stewartland, Alabama, Kuwait",UID77839
Very disappointed.,Google,2024-09-20 07:00:25,"North Amandahaven, Kentucky, Bulgaria",UID39451
Will recommend to others.,Facebook,2025-05-20 16:58:30,"Nicolebury, Mississippi, Finland",UID87110
Nothing special.,Email,2023-09-26 08:22:24,"Bassport, South Carolina, Sri Lanka",UID38864
Great service!,Chatbot,2024-10-15 18:45:41,"Lake Lisaport, Texas, Bosnia and Herzegovina",UID92719
Loved the experience.,Facebook,2025-05-25 02:40:59,"West Darrell, Connecticut, Samoa",UID14117
Very disappointed.,Email,2024-07-29 12:35:44,"West Juan, Indiana, Saint Barthelemy",UID41195
Customer support was unhelpful.,Google,2024-02-17 03:30:40,"Lake Cynthia, Kentucky, Macedonia",UID80678
Excellent customer support!,Email,2024-06-09 06:39:11,"Rebeccaton, Colorado, Norfolk Island",UID71953
Very satisfied with the product.,Phone Call,2024-04-19 19:47:02,"Bradleymouth, Wyoming, Bulgaria",UID63354
Great service!,Facebook,2024-10-02 16:24:48,"Evanmouth, Oklahoma, Romania",UID96374
Not worth the money.,Mobile App,2024-04-23 00:25:17,"North Charlesberg, Ohio, Argentina",UID63883
Very disappointed.,Chatbot,2025-03-05 01:44:17,"Brandiberg, Nevada, Brunei Darussalam",UID95649
It was okay.,Facebook,2023-06-28 07:30:21,"Michaelton, Minnesota, Cote d'Ivoire",UID62772
Average experience.,Phone Call,2024-11-06 14:24:14,"Lake Curtis, Wyoming, Moldova",UID24322
Loved the experience.,Google,2025-04-12 13:13:29,"Dicksonberg, Kansas, Tonga",UID80292
Terrible experience.,Mobile App,2023-09-30 01:00:42,"South Angel, West Virginia, Uzbekistan",UID34050
Customer support was unhelpful.,Google,2024-02-08 20:08:43,"Phambury, Louisiana, Cayman Islands",UID19880
I want a refund.,Facebook,2025-01-27 09:29:02,"South Monicafort, Iowa, Cook Islands",UID16630
No complaints.,Phone Call,2025-02-19 02:02:13,"Baileybury, Iowa, Anguilla",UID11934
Loved the experience.,Google,2024-10-20 11:40:11,"South Mark, California, Sierra Leone",UID63269
Customer support was unhelpful.,Google,2023-12-29 15:01:35,"Darlenefurt, Utah, Tajikistan",UID62565
Loved the experience.,Mobile App,2024-07-16 07:32:42,"Sheilaville, Kentucky, Christmas Island",UID10282
Not worth the money.,Phone Call,2024-08-19 18:44:11,"Benjaminchester, Minnesota, Saint Lucia",UID69638
Customer support was unhelpful.,Chatbot,2025-01-26 15:50:35,"Samuelhaven, Delaware, Hungary",UID82845
Product matches the description.,Google,2025-04-24 11:44:34,"West Bradley, Nevada, Afghanistan",UID34890
Terrible experience.,Facebook,2024-07-03 15:46:37,"West Ryan, Texas, Uruguay",UID85914
No complaints.,Facebook,2024-02-07 07:08:03,"Elizabethville, Washington, United Arab Emirates",UID51104
Great service!,Email,2024-01-15 02:10:20,"Elizabethmouth, Montana, Qatar",UID72493
No complaints.,Google,2024-01-11 11:10:18,"East Robert, Missouri, Philippines",UID17455
It was okay.,Phone Call,2024-12-27 21:59:54,"New Ashley, Montana, Mayotte",UID34356
Excellent customer support!,Facebook,2025-03-04 09:31:23,"West Justinchester, Pennsylvania, Netherlands",UID98501
Very satisfied with the product.,Facebook,2024-10-16 08:21:24,"Stevenmouth, Utah, Croatia",UID84668
Excellent customer support!,Email,2024-06-26 20:44:00,"Leonburgh, Texas, Belize",UID15209
It was okay.,Mobile App,2024-01-02 05:55:17,"Clarencebury, Utah, Georgia",UID96163
No complaints.,Email,2023-11-17 07:21:53,"East Andrew, Kansas, Lebanon",UID51467
Terrible experience.,Chatbot,2024-09-12 14:43:55,"South Robertshire, Illinois, Saint Barthelemy",UID51180
Will recommend to others.,Mobile App,2024-11-17 16:44:36,"Snyderbury, Georgia, Palau",UID27154
Average experience.,Mobile App,2024-11-10 21:58:13,"Port Michelleville, Wyoming, Jamaica",UID51441
Great service!,Mobile App,2023-11-12 19:15:14,"Port Susan, North Dakota, Kyrgyz Republic",UID91416
It was okay.,Facebook,2023-07-04 19:53:52,"Port David, Florida, Spain",UID80468
Excellent customer support!,Website,2024-05-21 17:20:13,"Stephaniemouth, South Carolina, Suriname",UID27361
Very disappointed.,Google,2024-12-05 11:59:52,"Rivasside, New Hampshire, Ukraine",UID58434
Terrible experience.,Mobile App,2023-09-27 10:40:40,"Colebury, South Dakota, Falkland Islands (Malvinas)",UID81200
Average experience.,Email,2025-01-10 15:33:40,"Simsview, New Hampshire, Belarus",UID95717
It was okay.,Chatbot,2024-12-01 01:11:59,"Jimmymouth, Massachusetts, Uganda",UID82692
Very disappointed.,Google,2024-07-19 08:55:36,"East Edwardfurt, Vermont, Cape Verde",UID44664
Great service!,Chatbot,2024-11-25 12:22:00,"North Robert, Michigan, Mauritania",UID82512
Will recommend to others.,Website,2024-05-22 17:13:04,"Brownchester, Missouri, United Kingdom",UID89276
Will recommend to others.,Google,2025-01-13 17:47:33,"Port Nicoleshire, Missouri, Lesotho",UID93130
I want a refund.,Mobile App,2023-05-31 09:40:13,"Kennethfurt, Nebraska, Martinique",UID42914
Great service!,Chatbot,2024-12-27 10:27:41,"South Jeffrey, Nevada, Libyan Arab Jamahiriya",UID65518
Very disappointed.,Facebook,2023-06-18 08:49:16,"Rogersfurt, Washington, Chad",UID53719
Will recommend to others.,Google,2025-03-09 15:55:14,"Calhounside, Alaska, United States of America",UID67912
Product matches the description.,Email,2024-03-27 20:49:45,"North Dawnberg, New Jersey, Cocos (Keeling) Islands",UID11267
Great service!,Chatbot,2023-07-04 21:07:58,"Nicholasborough, New Jersey, Greece",UID29536
It was okay.,Phone Call,2024-02-12 23:13:32,"Ramirezchester, Kentucky, Syrian Arab Republic",UID58393
No complaints.,Google,2023-07-29 10:36:08,"Smithside, Arkansas, Zambia",UID66333
Great service!,Website,2024-02-22 15:29:35,"Lake Casey, Tennessee, Armenia",UID57795
Will recommend to others.,Google,2025-01-01 15:41:07,"East Jamestown, South Carolina, Cape Verde",UID99399
Great service!,Website,2023-11-28 02:33:34,"South Elizabeth, Oregon, Yemen",UID83385
I want a refund.,Chatbot,2023-11-12 02:54:46,"Lyonsstad, Hawaii, Netherlands",UID30257
Loved the experience.,Phone Call,2024-09-09 11:40:23,"Port Loriport, Connecticut, Morocco",UID33206
Very disappointed.,Google,2023-06-15 18:26:23,"Barbarafurt, Montana, Western Sahara",UID53540
Terrible experience.,Website,2024-12-02 04:35:58,"North Brittany, South Dakota, Ecuador",UID30866
It was okay.,Mobile App,2023-08-13 23:20:14,"Melissaville, Oregon, Slovenia",UID15075
Terrible experience.,Google,2023-06-27 17:20:36,"Amandastad, California, Macedonia",UID70332
Not worth the money.,Phone Call,2024-10-10 18:50:26,"Alexanderchester, New York, Botswana",UID39831
Great service!,Chatbot,2024-04-27 13:13:16,"Cynthiamouth, Virginia, Cape Verde",UID35313
Not worth the money.,Website,2024-04-29 01:49:41,"Lake Aimee, Tennessee, Faroe Islands",UID19099
Not worth the money.,Chatbot,2024-09-16 05:11:52,"Marshallshire, Louisiana, Gibraltar",UID76768
I want a refund.,Website,2025-03-18 08:50:36,"Port Sarah, Louisiana, Turkmenistan",UID13617
Will recommend to others.,Google,2024-05-10 23:19:04,"Port Steven, South Carolina, Paraguay",UID86099
Very disappointed.,Facebook,2024-03-16 04:37:55,"Anthonymouth, Idaho, Libyan Arab Jamahiriya",UID88193
Not worth the money.,Chatbot,2023-11-07 13:57:36,"Laurenmouth, Louisiana, Turkmenistan",UID51114
I want a refund.,Email,2024-08-31 20:53:39,"Angelahaven, Illinois, Belize",UID25157
I want a refund.,Google,2023-11-30 06:57:44,"Freemanbury, Vermont, Lebanon",UID43386
Very satisfied with the product.,Facebook,2024-10-09 12:15:43,"Westtown, Colorado, French Polynesia",UID78146
Nothing special.,Website,2023-11-14 22:36:56,"Holtport, Texas, Morocco",UID66531
Will recommend to others.,Email,2024-03-08 10:47:57,"Transtad, Nevada, Samoa",UID51145
It was okay.,Chatbot,2024-07-27 07:44:39,"Michaelmouth, Louisiana, Gambia",UID49363
Average experience.,Chatbot,2023-12-08 02:15:49,"North Jennifer, Massachusetts, British Indian Ocean Territory (Chagos Archipelago)",UID63528
Customer support was unhelpful.,Chatbot,2024-12-23 20:03:58,"East Javier, New Mexico, Falkland Islands (Malvinas)",UID48752
Nothing special.,Google,2024-12-09 15:00:10,"Tinaborough, Maine, Denmark",UID65108
Product matches the description.,Chatbot,2024-03-02 03:04:12,"West Alexis, Ohio, Brunei Darussalam",UID32810
No complaints.,Website,2023-12-25 21:17:35,"North Angelaberg, South Dakota, Trinidad and Tobago",UID63225
It was okay.,Website,2024-12-31 12:49:21,"Garciatown, Oregon, Finland",UID47606
Very satisfied with the product.,Phone Call,2024-05-25 09:57:09,"Alexanderburgh, Arkansas, El Salvador",UID86019
Average experience.,Mobile App,2025-03-26 03:26:23,"Wilsonland, Montana, Liechtenstein",UID67905
Terrible experience.,Email,2023-07-23 08:45:04,"East Edwardshire, Maryland, Belize",UID72021
Nothing special.,Chatbot,2023-12-05 14:22:27,"New Kathybury, Wyoming, Maldives",UID21114
I want a refund.,Chatbot,2024-03-17 06:31:11,"Kerrport, Pennsylvania, Japan",UID92960
Average experience.,Facebook,2024-01-19 00:27:35,"New Susanville, Wisconsin, Cote d'Ivoire",UID40784
Average experience.,Google,2024-09-23 16:12:17,"West Donna, Hawaii, Dominican Republic",UID36100
Great service!,Facebook,2023-10-08 19:52:43,"East Aaronmouth, Vermont, Nauru",UID42092
I want a refund.,Phone Call,2024-05-25 19:33:46,"Antonioport, Virginia, Finland",UID19545
Customer support was unhelpful.,Chatbot,2024-11-22 20:23:50,"Jonesbury, Kentucky, Solomon Islands",UID85454
Very satisfied with the product.,Mobile App,2025-01-30 09:41:11,"South Danny, Iowa, Oman",UID62383
Loved the experience.,Chatbot,2023-09-19 13:07:23,"Margaretland, Arkansas, Chad",UID10726
Very satisfied with the product.,Google,2025-01-31 11:25:36,"Brookeshire, Maine, Kazakhstan",UID33053
No complaints.,Mobile App,2023-08-31 09:52:46,"Barkerfurt, Louisiana, Macao",UID16582
Nothing special.,Phone Call,2024-07-19 05:44:43,"Kimton, Nevada, Saint Pierre and Miquelon",UID25906
Terrible experience.,Phone Call,2024-02-01 04:16:09,"Anthonybury, Utah, Taiwan",UID70901
No complaints.,Email,2025-03-25 04:57:23,"Port Emilyview, Oregon, Armenia",UID88047
Customer support was unhelpful.,Email,2025-01-08 13:08:32,"South April, New Hampshire, United States Virgin Islands",UID76162
I want a refund.,Mobile App,2023-12-28 20:58:25,"New Ryan, New York, Bermuda",UID30861
Product matches the description.,Mobile App,2024-05-25 21:23:17,"Rickymouth, Texas, Bosnia and Herzegovina",UID43972
Will recommend to others.,Phone Call,2025-03-23 01:03:47,"West Robert, New York, France",UID78327
Terrible experience.,Website,2024-10-22 11:12:42,"Cervantesside, Arizona, Korea",UID67654
Will recommend to others.,Google,2023-08-03 05:18:46,"Johnnyville, Wyoming, Iraq",UID45614
Not worth the money.,Email,2025-03-28 14:51:40,"Lake Mollymouth, Nebraska, Austria",UID20561
Loved the experience.,Google,2023-10-19 12:33:05,"Cindyfort, South Dakota, Kenya",UID60205
Nothing special.,Chatbot,2025-01-06 03:00:35,"East Josephberg, Maine, Kazakhstan",UID38043
Very satisfied with the product.,Mobile App,2025-04-09 23:55:49,"Martinezbury, Virginia, Cayman Islands",UID53369
Product matches the description.,Mobile App,2024-01-23 04:33:42,"New Rickybury, Delaware, Kyrgyz Republic",UID18161
Very satisfied with the product.,Mobile App,2023-08-26 01:29:13,"South Sarah, Maine, Madagascar",UID86556
It was okay.,Phone Call,2024-11-24 17:35:07,"Robertfort, New Mexico, Ecuador",UID85456
Customer support was unhelpful.,Facebook,2024-05-15 14:52:35,"South James, Rhode Island, Madagascar",UID56105
Customer support was unhelpful.,Phone Call,2024-12-26 11:39:38,"Port Chad, Wyoming, Somalia",UID64921
No complaints.,Phone Call,2025-03-20 11:09:38,"Morganhaven, Louisiana, Swaziland",UID89069
Very satisfied with the product.,Google,2023-05-28 19:34:45,"Jessicashire, Pennsylvania, Palestinian Territory",UID45774
Customer support was unhelpful.,Facebook,2024-06-10 03:19:01,"South Amanda, Minnesota, Grenada",UID60968
Customer support was unhelpful.,Chatbot,2024-07-28 12:14:44,"Gibsonmouth, Illinois, Qatar",UID31632
Terrible experience.,Email,2023-11-28 07:25:02,"Hallchester, Arizona, Ghana",UID80008
Very satisfied with the product.,Email,2024-12-25 06:04:10,"Thorntonfurt, Missouri, Panama",UID83975
It was okay.,Facebook,2025-01-31 07:02:52,"South Tammie, Florida, Macao",UID94246
Terrible experience.,Phone Call,2024-08-27 05:31:12,"Mollymouth, Connecticut, Mali",UID70515
Great service!,Website,2025-05-02 23:37:20,"Smithberg, Nebraska, Trinidad and Tobago",UID59689
Terrible experience.,Mobile App,2024-10-16 09:46:04,"North Terrance, Kentucky, Guadeloupe",UID52840
Customer support was unhelpful.,Website,2024-09-21 22:09:24,"Santosmouth, Utah, Togo",UID65255
Very disappointed.,Mobile App,2024-07-14 07:12:01,"Finleyfort, Ohio, Argentina",UID12540
No complaints.,Facebook,2024-09-17 10:02:17,"East Crystalport, Iowa, San Marino",UID55870
Great service!,Phone Call,2023-08-05 00:33:08,"Goodville, New Hampshire, Chad",UID95426
Great service!,Google,2024-11-15 20:52:43,"Rebeccaton, Massachusetts, South Africa",UID36130
Excellent customer support!,Google,2023-07-09 09:53:51,"Michaelchester, Georgia, Ecuador",UID41266
Very satisfied with the product.,Chatbot,2024-07-12 09:25:02,"Knightburgh, Hawaii, China",UID24993
Nothing special.,Mobile App,2023-07-27 03:50:10,"Harveybury, New York, United States Minor Outlying Islands",UID43586
Terrible experience.,Email,2024-08-21 18:35:46,"East Steven, Kentucky, Kuwait",UID89593
It was okay.,Phone Call,2023-12-11 03:23:39,"Port Stevenport, Utah, Mauritius",UID31465
Very disappointed.,Email,2023-09-26 12:38:18,"South Sierrashire, Maryland, Northern Mariana Islands",UID13365
I want a refund.,Chatbot,2024-04-20 09:27:04,"Stephenport, Illinois, Hungary",UID59192
Terrible experience.,Facebook,2025-03-19 15:05:07,"Rodriguezfurt, Oregon, Guinea-Bissau",UID87607
Nothing special.,Facebook,2024-08-15 07:01:49,"Victoriaport, Alaska, Switzerland",UID49529
No complaints.,Phone Call,2024-10-19 02:03:09,"Hillshire, Utah, Slovakia (Slovak Republic)",UID25866
It was okay.,Website,2024-12-25 05:23:33,"New Julieport, Wyoming, South Georgia and the South Sandwich Islands",UID79827
Not worth the money.,Facebook,2023-11-21 13:28:37,"Jefferyborough, South Carolina, El Salvador",UID76317
Average experience.,Facebook,2024-11-03 06:12:16,"Lake Colton, South Dakota, Oman",UID65057
Very disappointed.,Mobile App,2023-06-26 10:38:58,"Kristinaton, Pennsylvania, Haiti",UID57472
Product matches the description.,Chatbot,2024-12-15 15:56:06,"North Renee, Massachusetts, San Marino",UID30052
Terrible experience.,Chatbot,2024-04-13 13:17:54,"East David, Ohio, Turkey",UID78386
Average experience.,Email,2024-03-05 23:50:17,"Mariaview, New Mexico, Sri Lanka",UID80539
Customer support was unhelpful.,Mobile App,2024-01-11 01:35:41,"Lindamouth, California, Cambodia",UID87656
Not worth the money.,Phone Call,2025-01-01 14:09:43,"Port Erica, Utah, Indonesia",UID42177
Will recommend to others.,Mobile App,2025-03-13 17:34:45,"Christopherfurt, Alabama, Estonia",UID41963
I want a refund.,Email,2024-07-16 14:11:32,"South Miguelview, Pennsylvania, Hong Kong",UID97580
Not worth the money.,Facebook,2025-02-23 14:43:44,"Danielbury, New Mexico, Anguilla",UID74789
Terrible experience.,Mobile App,2024-09-19 00:57:00,"Rosebury, Tennessee, Bahrain",UID37802
Not worth the money.,Website,2024-10-01 08:32:49,"Blankenshipport, Tennessee, Ireland",UID46655
Average experience.,Email,2023-08-25 10:45:23,"North Sophia, Maryland, Lithuania",UID11330
Nothing special.,Facebook,2023-08-25 00:24:07,"East Paigeberg, Missouri, Korea",UID41635
Product matches the description.,Mobile App,2024-03-09 23:54:55,"Matthewsberg, Nebraska, Palau",UID82768
Very satisfied with the product.,Chatbot,2023-08-11 17:39:23,"Gilbertview, Arizona, Portugal",UID74332
Very disappointed.,Facebook,2024-03-09 14:56:18,"South Sean, Kansas, Timor-Leste",UID48566
Very satisfied with the product.,Chatbot,2024-03-03 12:43:02,"Lake Michaelstad, Arkansas, Indonesia",UID41890
I want a refund.,Website,2023-12-27 02:33:44,"North Stacy, New Jersey, Bermuda",UID72031
No complaints.,Website,2024-10-22 14:39:51,"Lake Danielle, Alaska, Australia",UID65771
No complaints.,Website,2025-01-26 22:40:25,"Johnberg, Oregon, Costa Rica",UID56112
Product matches the description.,Website,2023-07-19 02:44:43,"New Jason, Iowa, Greenland",UID50189
Terrible experience.,Facebook,2025-01-17 07:02:09,"Port Rachel, Alabama, Falkland Islands (Malvinas)",UID35242
Very disappointed.,Chatbot,2025-03-23 13:36:33,"East Amber, Idaho, Bouvet Island (Bouvetoya)",UID80236
Nothing special.,Google,2024-10-21 06:46:01,"East Alexisbury, Pennsylvania, Gibraltar",UID38361
Product matches the description.,Website,2023-06-08 01:56:24,"West Brian, West Virginia, Italy",UID87278
No complaints.,Website,2024-07-08 10:42:16,"Lake Brycemouth, Wyoming, Guyana",UID23176
Will recommend to others.,Google,2024-06-28 11:12:30,"South Williamton, Washington, Slovenia",UID57301
Will recommend to others.,Facebook,2025-05-01 16:07:07,"Stephentown, Arkansas, Lesotho",UID80010
Will recommend to others.,Facebook,2025-03-14 22:32:56,"Simmonsville, New York, Rwanda",UID17146
Average experience.,Chatbot,2025-05-02 09:48:43,"Jonesland, Massachusetts, Netherlands",UID26551
Product matches the description.,Facebook,2023-09-19 00:54:08,"East Joshuashire, Oklahoma, Rwanda",UID11607
Average experience.,Mobile App,2024-02-03 09:39:19,"Vanghaven, Maine, Korea",UID72746
Not worth the money.,Google,2024-06-22 11:54:52,"Garciaville, Tennessee, Pakistan",UID16734
Customer support was unhelpful.,Facebook,2025-04-07 13:23:20,"South Shannon, Iowa, Isle of Man",UID18564
Customer support was unhelpful.,Facebook,2024-02-14 01:54:09,"Rossville, Massachusetts, Japan",UID85631
It was okay.,Google,2024-01-24 13:37:15,"Nicholasberg, Utah, Uzbekistan",UID29555
Average experience.,Facebook,2024-05-29 04:45:13,"North Marieland, Nevada, Bhutan",UID42530
Excellent customer support!,Phone Call,2024-12-25 03:54:13,"Lisaside, Arkansas, Myanmar",UID64548
No complaints.,Phone Call,2024-08-05 00:29:20,"Elizabethchester, Minnesota, Tunisia",UID91057
Excellent customer support!,Mobile App,2024-10-24 14:36:20,"Parrishton, Maine, Nepal",UID69049
Not worth the money.,Phone Call,2024-01-24 12:13:44,"Dalehaven, Indiana, Cape Verde",UID87139
Not worth the money.,Email,2024-10-17 22:12:41,"Walkerville, Minnesota, Tanzania",UID91399
Excellent customer support!,Chatbot,2024-07-31 21:17:58,"Dannyview, Oregon, Czech Republic",UID23006
Loved the experience.,Website,2025-02-11 19:27:23,"Bruceside, Alaska, Netherlands",UID96563
Loved the experience.,Google,2025-05-17 11:08:45,"Anthonyview, Vermont, Serbia",UID32782
It was okay.,Google,2024-01-21 19:39:05,"Michaelburgh, Georgia, Monaco",UID10350
Customer support was unhelpful.,Chatbot,2024-10-18 09:33:05,"Jonestown, Colorado, San Marino",UID87832
Not worth the money.,Facebook,2024-07-11 20:40:24,"South Robert, Michigan, Cayman Islands",UID40340
Not worth the money.,Chatbot,2024-03-09 06:02:56,"Jennifershire, Rhode Island, Belize",UID69510
Loved the experience.,Website,2025-04-11 22:27:04,"East Ericton, Utah, Belgium",UID91927
Nothing special.,Mobile App,2023-12-24 04:07:26,"Stanleyfort, Rhode Island, Kenya",UID25043
Nothing special.,Chatbot,2024-04-12 12:42:14,"Jasonhaven, Delaware, Guatemala",UID29528
Terrible experience.,Facebook,2024-04-24 17:55:49,"West Erikashire, New York, Mali",UID17816
Will recommend to others.,Email,2024-10-26 00:00:42,"Brandonfurt, Rhode Island, Azerbaijan",UID84607
Customer support was unhelpful.,Facebook,2023-06-01 19:03:25,"West Sierra, Wyoming, Burundi",UID71433
Average experience.,Chatbot,2025-01-09 08:45:03,"Keithville, Alabama, Luxembourg",UID62757
I want a refund.,Email,2024-12-27 01:06:43,"Thompsonfurt, Ohio, Romania",UID74722
Very disappointed.,Email,2023-11-21 13:20:02,"Charleston, Nevada, Andorra",UID15224
Not worth the money.,Email,2024-05-17 22:11:59,"Port Lawrencechester, Oregon, Iraq",UID42816
Great service!,Google,2024-11-27 21:46:43,"Robertsfurt, Alaska, Greece",UID98381
No complaints.,Facebook,2023-10-07 07:42:27,"Collierstad, Colorado, Jordan",UID98117
I want a refund.,Facebook,2025-03-12 18:05:20,"East Ryanfurt, North Dakota, Belgium",UID32962
I want a refund.,Chatbot,2024-03-29 05:23:07,"Juliebury, Michigan, Slovakia (Slovak Republic)",UID67963
Terrible experience.,Email,2023-10-04 09:58:49,"New Cynthiahaven, North Carolina, Congo",UID67132
Product matches the description.,Facebook,2025-04-29 11:22:59,"Michaelberg, Kansas, Bosnia and Herzegovina",UID71605
Customer support was unhelpful.,Website,2023-09-17 13:40:39,"Jamesberg, Wisconsin, Senegal",UID52081
It was okay.,Phone Call,2024-10-16 23:19:59,"East Stephaniefort, New Jersey, Saudi Arabia",UID31079
Customer support was unhelpful.,Chatbot,2024-08-06 16:33:01,"Maldonadoshire, Tennessee, Norfolk Island",UID74942
Customer support was unhelpful.,Phone Call,2024-09-22 21:41:21,"Michellemouth, Georgia, Kazakhstan",UID82102
Very satisfied with the product.,Facebook,2023-07-18 20:42:27,"Ramosport, Louisiana, Namibia",UID51224
Not worth the money.,Facebook,2023-07-09 10:53:01,"Williamport, New Jersey, Korea",UID62976
It was okay.,Chatbot,2023-06-25 00:48:33,"West Marieland, Tennessee, Tonga",UID81118
Customer support was unhelpful.,Facebook,2025-03-21 03:35:00,"New Brookefurt, New Jersey, Morocco",UID34586
Average experience.,Email,2024-07-30 08:57:55,"South Reginashire, Tennessee, Comoros",UID75338
Product matches the description.,Phone Call,2024-01-31 13:27:09,"Masonton, New Hampshire, Bosnia and Herzegovina",UID16764
